,Si,S,Ca,Mg,Ni,Fe,cluster,pixels per cluster
0,1,,,,,2.364401505,0,19129
1,,1,,,,1.361484558,1,36825
2,1.020900373,1,,,,2.873745021,2,2409
3,,,,,,1,3,62137
4,,,,,1,2.937404434,4,37072
5,8.203627664,12.50793918,1,5.420035339,10.94359894,29.4392131,-1,3377
6,1.329302168,,,1,,1.207738657,5,3334
7,2.538951206,,,,1,4.926286491,6,1728
8,1.799054517,1.936770028,,,1,5.489016207,7,794
9,3.547795197,1.402669765,,,1,3.114612021,11,38
10,1.275748981,1,,1.331152224,,4.449834916,16,64
11,1.136135078,,,1,,,8,569
12,,2.746076262,,,1,4.380703674,9,13435
13,1,,,1.559611859,,1.196387522,15,34
14,2.171441954,1,,1.239550993,,2.359413383,12,122
15,,,,1,,3.692116034,10,520
16,5.40135867,,1,1.942897649,,,13,110
17,7.836658578,,1.423041912,3.407984277,,1,18,16
18,1,,,,,,14,273
19,,1,,,2.130522793,2.104405261,17,13
20,4.57647285,,,4.732227093,,1,20,12
21,7.523707534,,,,1,,19,35